"id_answer";"answer";"is_correct"
1;"Stati Uniti";1
2;"1948";1
3;"Marconi";1
4;"Ginestra";1
5;"Biancaneve e i sette nani";1
6;"k2";1
7;"Tolkien";1
8;"Alisei";1
9;"Teseo";1
10;"Itaca";1
11;"Canada";0
12;"Messico";0
13;"Argentina";0
14;"1952";0
15;"1960";0
16;"1930";0
17;"Volta";0
18;"Einstein";0
19;"Tesla";0
20;"Margherita";0
21;"Tulipano";0
22;"Mimosa";0
23;"Pinocchio";0
24;"Bambi";0
25;"Il Re Leone";0
26;"Monte Bianco";0
27;"Everest";0
28;"Kilimangiaro";0
29;"J.K.Rowling";0
30;"Oscar Wilde";0
31;"Coelho";0
32;"Tramontana";0
33;"Levante";0
34;"Bora";0
35;"Ulisse";0
36;"Paride";0
37;"Agamennone";0
38;"Creta";0
39;"Anafi";0
40;"Zante";0
